26772,3.0
32535,5.0
26000,4.0
24611,4.0
19306,2.0
34057,2.0
11870,3.0
2625,3.0
15369,4.0
24714,1.0
16107,4.0
10870,4.0
10852,4.0
2897,5.0
18911,3.0
12062,3.0
17146,3.0
21130,4.0
30145,4.0
13930,5.0
4034,1.0
23225,4.0
17234,2.0
3623,4.0
25701,4.0
5109,3.0
33349,4.0
2679,3.0
19820,5.0
13477,3.0
24715,1.0
15217,3.0
17772,4.0
12061,3.0
2385,3.0
25770,3.0
22950,3.0
34779,1.0
33094,4.0
538,4.0
7696,2.0
14046,5.0
17812,3.0
2465,5.0
24071,3.0
30444,2.0
3123,2.0
33344,5.0
18292,3.0
12783,1.0
12693,5.0
28596,3.0
16235,3.0
31756,1.0
32053,4.0
5293,3.0
30230,3.0
11505,1.0
35666,4.0
25682,4.0
18544,5.0
30167,5.0
5125,1.0
18048,5.0
11185,3.0
25969,5.0
11899,4.0
4717,4.0
19794,2.0
1915,1.0
33961,1.0
25853,2.0
16453,2.0
26366,5.0
25118,4.0
18529,5.0
30045,4.0
19799,1.0
3383,5.0
25696,4.0
17786,5.0
21690,3.0
18772,5.0
12013,4.0
12352,5.0
13638,1.0
2523,4.0
7504,4.0
1333,3.0
32676,2.0
31404,2.0
23053,5.0
7638,2.0
5439,1.0
24313,4.0
24541,4.0
32297,1.0
21131,4.0
8232,1.0
24356,3.0
33831,2.0
35280,5.0
19602,3.0
18841,5.0
8717,4.0
31977,2.0
35790,4.0
21909,4.0
25890,3.0
9666,5.0
7443,4.0
29375,5.0
35757,4.0
15770,3.0
11717,3.0
20313,3.0
2734,5.0
12073,5.0
24478,5.0
26388,4.0
21413,3.0
23032,5.0
6125,3.0
32735,3.0
16013,4.0
13943,5.0
12586,5.0
18586,2.0
31452,2.0
25985,4.0
20442,5.0
13193,4.0
19812,1.0
3847,4.0
5388,2.0
35276,5.0
20196,1.0
11343,4.0
23609,3.0
2422,3.0
26428,5.0
32664,1.0
26702,5.0
14347,5.0
35620,5.0
22687,4.0
755,2.0
9361,5.0
17188,4.0
7665,5.0
19677,5.0
6300,1.0
788,1.0
1725,5.0
32552,3.0
18439,1.0
35498,1.0
30627,4.0
27597,2.0
9273,5.0
15036,4.0
6282,1.0
15312,3.0
12031,4.0
14462,2.0
12214,4.0
25806,3.0
7692,2.0
16409,3.0
23266,3.0
18635,5.0
29133,4.0
16317,4.0
7407,5.0
23982,4.0
17810,3.0
23294,4.0
25415,5.0
